epoch,angular_error_deg,loss,lr,val_angular_error_deg,val_loss
0,12.756204605102539,0.14452916383743286,0.0005,4.896297931671143,0.0551309697329998
1,4.374076843261719,0.04958965256810188,0.0005,5.256623268127441,0.05995999276638031
2,3.9748315811157227,0.04491947963833809,0.0005,5.1783881187438965,0.060301996767520905
3,3.7428581714630127,0.04224954545497894,0.0005,4.619624614715576,0.05047167092561722
4,3.54438853263855,0.03996904939413071,0.0005,5.183859348297119,0.05766448378562927
5,3.3871994018554688,0.03821069747209549,0.0005,4.911323547363281,0.05173113942146301
6,3.2746689319610596,0.0369722805917263,0.0005,4.829783916473389,0.05117448419332504
7,3.093841552734375,0.03470168262720108,0.0005,4.914793014526367,0.05537288263440132
8,2.988926887512207,0.03362426534295082,0.0005,4.860354423522949,0.052312202751636505
9,2.8963475227355957,0.032630447298288345,0.0005,4.664466857910156,0.04823377728462219
10,2.833603620529175,0.03190567344427109,0.0005,4.8981451988220215,0.05353131890296936
11,2.7401790618896484,0.030790256336331367,0.0005,5.058569431304932,0.058798398822546005
12,2.666935443878174,0.03007921762764454,0.0005,4.758974075317383,0.052560120820999146
13,2.579078197479248,0.029122991487383842,0.0005,4.764970302581787,0.05092678219079971
14,2.5133543014526367,0.028472088277339935,0.0005,5.013244152069092,0.056213878095149994
15,2.444685935974121,0.027736874297261238,0.0005,4.8495001792907715,0.05471042916178703
16,2.241584300994873,0.025199156254529953,0.00025,4.566989421844482,0.048728037625551224
17,2.1957104206085205,0.024703025817871094,0.00025,4.84971284866333,0.05171580985188484
18,2.161226511001587,0.024275202304124832,0.00025,4.812263488769531,0.051009491086006165
19,2.1409482955932617,0.024119703099131584,0.00025,4.667311191558838,0.04839624464511871
