epoch,angular_error_deg,loss,lr,val_angular_error_deg,val_loss
0,15.366561889648438,0.16311556100845337,0.0008,5.526393413543701,0.066866934299469
1,4.523316860198975,0.05216171219944954,0.0008,5.1301655769348145,0.05905744433403015
2,4.0109686851501465,0.045668359845876694,0.0008,5.097830295562744,0.05561317130923271
3,3.6828887462615967,0.0417204387485981,0.0008,5.218476295471191,0.05895738676190376
4,3.4770281314849854,0.03940911963582039,0.0008,5.098085880279541,0.05888296663761139
5,3.2943406105041504,0.03738066926598549,0.0008,5.2599382400512695,0.06094813719391823
6,3.1097750663757324,0.035181187093257904,0.0008,4.815539360046387,0.05412265658378601
7,2.9452760219573975,0.033492449671030045,0.0008,5.273398399353027,0.059147875756025314
8,2.7904021739959717,0.03182770311832428,0.0008,5.12025260925293,0.057006798684597015
9,2.6335363388061523,0.030192915350198746,0.0008,5.052671909332275,0.055448804050683975
10,2.5634498596191406,0.02943151444196701,0.0008,4.747486591339111,0.05223360285162926
11,2.367605686187744,0.027402905747294426,0.0008,5.138396739959717,0.05755600705742836
12,2.3495945930480957,0.027199625968933105,0.0008,5.399188041687012,0.06218494102358818
13,2.248339891433716,0.026181595399975777,0.0008,5.143461227416992,0.05729368329048157
14,2.143406867980957,0.025067050009965897,0.0008,5.224951267242432,0.0561441034078598
15,2.039013385772705,0.023964470252394676,0.0008,5.452393531799316,0.06255142390727997
16,1.9865487813949585,0.023339014500379562,0.0008,5.20827054977417,0.05883166939020157
17,1.7381685972213745,0.020332712680101395,0.0004,5.352779865264893,0.059429608285427094
18,1.6603894233703613,0.01944754458963871,0.0004,5.12667989730835,0.05731077492237091
19,1.6344715356826782,0.019177107140421867,0.0004,5.2029128074646,0.05825890600681305
20,1.5751280784606934,0.018626535311341286,0.0004,5.236043930053711,0.0563635416328907
